order,name,internal_var,namelist,group,group_cn,dtype,default,size,description,usage,condition,source,line,source_use_count,source_use_files,source_usage_summary,source_use_examples
1,b0_norm,b0_norm,&inputnl,Normalizations,归一化,real,1.e4,1,Normalization magnetic field (in G),,,unstructured/input.f90,217,73,unstructured/gradshafranov.f90(16); unstructured/particle.f90(16); unstructured/particle_com.f90(12); unstructured/input.f90(7); unstructured/rmp.f90(6); unstructured/init_common.f90(3); unstructured/init_vmec.f90(3); unstructured/bootstrap.f90(2),"源码引用 73 处；主要在 `gradshafranov.f90` 16处, `particle.f90` 16处, `particle_com.f90` 12处, `input.f90` 7处。","unstructured/bootstrap.f90:1503: telec(i)=max(real(tet79(i,OP_1))*1e3/(1.6022e-9 * (4.*pi*n0_norm)/ (b0_norm**2)),eps_val)
unstructured/bootstrap.f90:1504: tion(i)=max(real(tit79(i,OP_1))*1e3/(1.6022e-9 * (4.*pi*n0_norm)/ (b0_norm**2)),eps_val)
unstructured/gradshafranov.f90:405: yvals = yvals * 10. / (b0_norm**2/(4.*pi))
unstructured/gradshafranov.f90:437: yvals = yvals * 1e6 / (b0_norm*l0_norm)
unstructured/gradshafranov.f90:569: yvals = yvals * 1.6022e-9 / (b0_norm**2/(4.*pi*n0_norm))
unstructured/gradshafranov.f90:576: yvals = yvals * 1.6022e-12 / (b0_norm**2/(4.*pi*n0_norm))
unstructured/gradshafranov.f90:584: yvals = yvals * 1.6022e-9 / (b0_norm**2/(4.*pi*n0_norm))
unstructured/gradshafranov.f90:596: yvals = yvals * 1.6022e-9 / (b0_norm**2/(4.*pi*n0_norm))
unstructured/gradshafranov.f90:605: yvals = yvals * 1.6022e-9 / (b0_norm**2/(4.*pi*n0_norm))
unstructured/gradshafranov.f90:866: (b0_norm/sqrt(4.*pi*1.6726e-24*ion_mass*n0_norm)/l0_norm)"
2,n0_norm,n0_norm,&inputnl,Normalizations,归一化,real,1.e14,1,Normalization density (in e-/cm3),,,unstructured/input.f90,219,109,unstructured/gradshafranov.f90(21); unstructured/particle.f90(15); unstructured/kprad_m3dc1.f90(12); unstructured/particle_com.f90(11); unstructured/pellet.f90(11); unstructured/init_common.f90(7); unstructured/input.f90(7); unstructured/transport.f90(7),"源码引用 109 处；主要在 `gradshafranov.f90` 21处, `particle.f90` 15处, `kprad_m3dc1.f90` 12处, `particle_com.f90` 11处。","unstructured/bootstrap.f90:1503: telec(i)=max(real(tet79(i,OP_1))*1e3/(1.6022e-9 * (4.*pi*n0_norm)/ (b0_norm**2)),eps_val)
unstructured/bootstrap.f90:1504: tion(i)=max(real(tit79(i,OP_1))*1e3/(1.6022e-9 * (4.*pi*n0_norm)/ (b0_norm**2)),eps_val)
unstructured/diagnostics.f90:1025: temp_pel(ip) = temp_pel(ip) + twopi*int2(temp79b,temp79a)*p0_norm/(1.6022e-12*n0_norm*tpifac)
unstructured/diagnostics.f90:1178: print *, "" particles injected = "", pellet_rate(ip)*dt*(n0_norm*l0_norm**3)
unstructured/gradshafranov.f90:569: yvals = yvals * 1.6022e-9 / (b0_norm**2/(4.*pi*n0_norm))
unstructured/gradshafranov.f90:576: yvals = yvals * 1.6022e-12 / (b0_norm**2/(4.*pi*n0_norm))
unstructured/gradshafranov.f90:584: yvals = yvals * 1.6022e-9 / (b0_norm**2/(4.*pi*n0_norm))
unstructured/gradshafranov.f90:596: yvals = yvals * 1.6022e-9 / (b0_norm**2/(4.*pi*n0_norm))
unstructured/gradshafranov.f90:605: yvals = yvals * 1.6022e-9 / (b0_norm**2/(4.*pi*n0_norm))
unstructured/gradshafranov.f90:657: yvals = yvals / n0_norm !rsae"
3,l0_norm,l0_norm,&inputnl,Normalizations,归一化,real,100.,1,Normalization length (in cm),,,unstructured/input.f90,221,53,unstructured/pellet.f90(19); unstructured/gradshafranov.f90(7); unstructured/input.f90(6); unstructured/diagnostics.f90(5); unstructured/kprad_m3dc1.f90(4); unstructured/neutral_beam.f90(4); unstructured/transport.f90(3); unstructured/init_conds.f90(2),"源码引用 53 处；主要在 `pellet.f90` 19处, `gradshafranov.f90` 7处, `input.f90` 6处, `diagnostics.f90` 5处。","unstructured/diagnostics.f90:1178: print *, "" particles injected = "", pellet_rate(ip)*dt*(n0_norm*l0_norm**3)
unstructured/diagnostics.f90:1179: print *, "" radius (in cm) = "", r_p(ip)*l0_norm
unstructured/diagnostics.f90:1182: print *, "" rpdot (in cm/s) = "", rpdot(ip)*l0_norm/t0_norm
unstructured/diagnostics.f90:1184: print *, "" R position: "", pellet_r(ip)*l0_norm
unstructured/diagnostics.f90:1186: print *, "" Z position: "", pellet_z(ip)*l0_norm
unstructured/gradshafranov.f90:437: yvals = yvals * 1e6 / (b0_norm*l0_norm)
unstructured/gradshafranov.f90:866: (b0_norm/sqrt(4.*pi*1.6726e-24*ion_mass*n0_norm)/l0_norm)
unstructured/gradshafranov.f90:874: (b0_norm/sqrt(4.*pi*1.6726e-24*ion_mass*n0_norm)/l0_norm)
unstructured/gradshafranov.f90:883: (b0_norm/sqrt(4.*pi*1.6726e-24*ion_mass*n0_norm)/l0_norm) &
unstructured/gradshafranov.f90:893: (b0_norm/sqrt(4.*pi*1.6726e-24*ion_mass*n0_norm)/l0_norm)"
536,nplanes,nplanes,&inputnl,Mesh,网格,integer,1,1,Number of toroidal planes,托卡马克：2D/complex 线性取 1，真实三维非线性取大于 1 的环向平面数。仿星器：表示所选环向计算域内的平面数，通常必须大于 1；需足以解析 VMEC/外场的最高环向模。3D+PETSc 当前要求 MPI 进程数等于 `nplanes`。,,unstructured/input.f90,1186,113,unstructured/basic_mesh.f90(30); unstructured/diagnostics.f90(15); unstructured/input.f90(11); m3dc1_scorec/src/m3dc1_matrix.cc(10); unstructured/scorec_mesh.f90(9); unstructured/output.f90(8); unstructured/restart_hdf5.f90(8); unstructured/particle_com.f90(4),"源码引用 113 处；主要在 `basic_mesh.f90` 30处, `diagnostics.f90` 15处, `input.f90` 11处, `m3dc1_matrix.cc` 10处。","unstructured/adapt.f90:451: if (nplanes .gt. 1) then
unstructured/basic_mesh.f90:54: subroutine load_sms_mesh(nplanes, inodes, ielms, nodes, elms)
unstructured/basic_mesh.f90:85: write(*,*) ' nplanes = ', nplanes
unstructured/basic_mesh.f90:86: if(nplanes.gt.1) then
unstructured/basic_mesh.f90:87: ielms = ielmspp*nplanes
unstructured/basic_mesh.f90:88: inodes = inodespp*nplanes
unstructured/basic_mesh.f90:176: do i=2, nplanes
unstructured/basic_mesh.f90:178: nodes((i-1)*inodespp+1:i*inodespp)%Phi = (i-1.)*twopi/nplanes
unstructured/basic_mesh.f90:187: do i=2, nplanes
unstructured/basic_mesh.f90:195: elms((nplanes-1)*ielmspp+i)%inode(4:6) = elms(i)%inode(1:3)"
537,nperiods,nperiods,&inputnl,Mesh,网格,integer,1,1,Number of field periods,托卡马克：通常取 1。仿星器：表示整环面被划分的周期数；当 `ifull_torus=0` 时实际只计算 `1/nperiods` 环面，且 VMEC 的 `nfp` 必须能被它整除。,,unstructured/input.f90,1188,33,unstructured/physical_mesh.f90(15); unstructured/diagnostics.f90(11); unstructured/scorec_mesh.f90(6); unstructured/output.f90(1),"源码引用 33 处；主要在 `physical_mesh.f90` 15处, `diagnostics.f90` 11处, `scorec_mesh.f90` 6处, `output.f90` 1处。","unstructured/diagnostics.f90:698: tpifac = twopi/nperiods
unstructured/diagnostics.f90:699: tpirzero = tpirzero/nperiods
unstructured/diagnostics.f90:836: co = cos(phi_79*twopi/(toroidal_period*nperiods))
unstructured/diagnostics.f90:837: sn = sin(phi_79*twopi/(toroidal_period*nperiods))
unstructured/diagnostics.f90:3121: xm = xm*2.*pi/nperiods/toroidal_period
unstructured/diagnostics.f90:3122: x0 = x0*2.*pi/nperiods/toroidal_period
unstructured/diagnostics.f90:3123: xp = xp*2.*pi/nperiods/toroidal_period
unstructured/diagnostics.f90:3178: xm = xm*2.*pi/nperiods/toroidal_period
unstructured/diagnostics.f90:3179: x0 = x0*2.*pi/nperiods/toroidal_period
unstructured/diagnostics.f90:3180: xp = xp*2.*pi/nperiods/toroidal_period"
538,ifull_torus,ifull_torus,&inputnl,Mesh,网格,integer,1,1,0 = one field period; 1 = full torus,托卡马克：通常取 1；取 0 只有在明确采用周期扇区时才有意义。仿星器：0 计算一个由 `nperiods` 定义的周期扇区，1 计算完整环面；它控制环向域长度，不改变 VMEC 几何本身。,,unstructured/input.f90,1190,7,unstructured/diagnostics.f90(3); unstructured/scorec_mesh.f90(3); unstructured/output.f90(1),"源码引用 7 处；主要在 `diagnostics.f90` 3处, `scorec_mesh.f90` 3处, `output.f90` 1处。","unstructured/diagnostics.f90:697: if(ifull_torus.eq.0) then
unstructured/diagnostics.f90:832: if(ifull_torus.eq.1) then
unstructured/diagnostics.f90:3593: if(ifull_torus.eq.1) then
unstructured/output.f90:842: call write_int_attr(mesh_group_id, ""ifull_torus"", ifull_torus, error)
unstructured/scorec_mesh.f90:103: if (mod(nfp, nperiods).ne.0 .and. ifull_torus.eq.0) then
unstructured/scorec_mesh.f90:114: if(ifull_torus.eq.0 .and. nperiods.ne.1) then
unstructured/scorec_mesh.f90:117: else if(ifull_torus.eq.1 .or. nperiods.eq.1) then"
539,iread_vmec,iread_vmec,&inputnl,Mesh,网格,integer,0,1,1 = read geometry from VMEC file,托卡马克：保持 0，gfile 不通过该参数读取。仿星器：1 时从 `vmec_filename` 读取 VMEC 几何，并在固定边界初始化中同时提供平衡磁场和压力；通常与 `igeometry=1` 配合。,,unstructured/input.f90,1192,6,unstructured/init_conds.f90(3); unstructured/physical_mesh.f90(2); unstructured/scorec_mesh.f90(1),"源码引用 6 处；主要在 `init_conds.f90` 3处, `physical_mesh.f90` 2处, `scorec_mesh.f90` 1处。","unstructured/init_conds.f90:641: if (igeometry.eq.1 .and. iread_vmec.eq.1 .and. bloat_factor.eq.0) then
unstructured/init_conds.f90:645: 'VMEC equilibrium needs igeometry=1, iread_vmec=1, and bloat_factor=0!'
unstructured/init_conds.f90:697: if(igeometry.eq.1 .and. iread_vmec.ge.1) then
unstructured/physical_mesh.f90:71: if (iread_vmec.ge.1) then ! use VMEC surfaces to calculate geometry
unstructured/physical_mesh.f90:234: if (iread_vmec.ge.1) then
unstructured/scorec_mesh.f90:101: if (iread_vmec.ge.1) then ! read geometry from VMEC file"
540,vmec_filename,vmec_filename,&inputnl,Mesh,网格,character(len=256),geometry.nc,1,name of vmec data file,托卡马克：不使用。仿星器：`iread_vmec=1` 时的 VMEC NetCDF 文件名；几何映射读取 R/Z 傅里叶系数、场周期和磁场系数，固定边界还使用其中的压力和磁场。 字符串值可写成 `name = value` 或带引号形式；解析器会去掉首尾引号。,,unstructured/input.f90,1194,4,unstructured/read_schaffer_field.f90(2); unstructured/read_vmec.f90(1); unstructured/rmp.f90(1),"源码引用 4 处；主要在 `read_schaffer_field.f90` 2处, `read_vmec.f90` 1处, `rmp.f90` 1处。","unstructured/read_schaffer_field.f90:676: subroutine load_mgrid_field(sf, mgrid_filename, vmec_filename, error)
unstructured/read_schaffer_field.f90:800: c_filename = trim(vmec_filename) // c_null_char
unstructured/read_vmec.f90:218: c_filename = trim(vmec_filename) // c_null_char
unstructured/rmp.f90:150: call load_mgrid_field(sf(iread_ext_field), field_name, vmec_filename, ierr)"
541,igeometry,igeometry,&inputnl,Mesh,网格,integer,0,1,"0: default, identity",托卡马克：标准物理 R-Z 网格取 0，网格坐标不再映射。仿星器：取 1，先把二维 mesh 坐标解释为逻辑圆盘，再由 VMEC/边界傅里叶数据映射为物理 R-Z；取 2 是求解 Laplace 几何的内部路径，不是常规 VMEC 设置。,,unstructured/input.f90,1196,39,unstructured/newpar.f90(6); unstructured/scorec_mesh.f90(6); unstructured/transport.f90(6); unstructured/init_common.f90(5); unstructured/gradshafranov.f90(4); unstructured/init_conds.f90(3); unstructured/geometry.f90(2); unstructured/output.f90(2),"源码引用 39 处；主要在 `newpar.f90` 6处, `scorec_mesh.f90` 6处, `transport.f90` 6处, `init_common.f90` 5处。","unstructured/diagnostics.f90:1271: if (igeometry.ge.1) return
unstructured/geometry.f90:40: select case(igeometry)
unstructured/geometry.f90:148: if (igeometry.eq.1) then
unstructured/gradshafranov.f90:1982: if (igeometry.eq.1) then ! use physical coordinates of magnetic axis
unstructured/gradshafranov.f90:2103: if (igeometry.eq.1) then ! use physical coordinates of magnetic axis
unstructured/gradshafranov.f90:2118: if (igeometry.eq.1) then ! use physical coordinates of magnetic axis
unstructured/gradshafranov.f90:2173: if (igeometry.eq.1) then ! use physical coordinates
unstructured/init_common.f90:174: if(igeometry.eq.1) then
unstructured/init_common.f90:335: if(igeometry.eq.1) then
unstructured/init_common.f90:340: if(myrank.eq.0) print *, 'idenfunc = 21 requires igeometry = 1'"
542,xcenter,xcenter,&inputnl,Mesh,网格,real,0.,1,center of logical mesh (x),托卡马克：`igeometry=0` 时不用于平衡与 mesh 对齐。仿星器：逻辑圆盘中心的 x 坐标，逻辑 rho 由 `sqrt((x-xcenter)^2+(z-zcenter)^2)` 计算；必须与生成逻辑 mesh 时采用的圆心一致。,,unstructured/input.f90,1197,19,unstructured/init_common.f90(9); unstructured/transport.f90(5); unstructured/physical_mesh.f90(3); unstructured/init_vmec.f90(2),"源码引用 19 处；主要在 `init_common.f90` 9处, `transport.f90` 5处, `physical_mesh.f90` 3处, `init_vmec.f90` 2处。","unstructured/init_common.f90:336: temp79b = sqrt((xl_79-xcenter)**2 + (zl_79-zcenter)**2 + regular**2)
unstructured/init_common.f90:346: temp79b = (xl_79-xcenter)**2 + (zl_79-zcenter)**2 + regular**2
unstructured/init_common.f90:503: temp79b = (xl_79-xcenter)**2 + (zl_79-zcenter)**2
unstructured/init_common.f90:529: temp79b = (xl_79-xcenter)**2 + (zl_79-zcenter)**2
unstructured/init_common.f90:545: temp79b = (xl_79-xcenter)**2 + (zl_79-zcenter)**2
unstructured/init_common.f90:586: temp79b = (xl_79 - xcenter)**2 + (zl_79 - zcenter)**2
unstructured/init_common.f90:629: temp79b = (xl_79 - xcenter)**2 + (zl_79 - zcenter)**2
unstructured/init_common.f90:653: temp79b = (xl_79 - xcenter)**2 + (zl_79 - zcenter)**2
unstructured/init_common.f90:678: temp79b = sqrt((xl_79-xcenter)**2 + (zl_79-zcenter)**2+1e-8)
unstructured/init_vmec.f90:313: r = sqrt((x - xcenter)**2 + (z - zcenter)**2 + regular**2)"
