参数名,数据类型,默认值,含义
b0_norm,real,1.e4,Normalization magnetic field (in G)
n0_norm,real,1.e14,Normalization density (in e-/cm3)
l0_norm,real,100.,Normalization length (in cm)
nplanes,integer,1,Number of toroidal planes；托卡马克：2D/complex 线性取 1，真实三维非线性取大于 1 的环向平面数。仿星器：表示所选环向计算域内的平面数，通常必须大于 1；需足以解析 VMEC/外场的最高环向模。3D+PETSc 当前要求 MPI 进程数等于 `nplanes`
nperiods,integer,1,Number of field periods；托卡马克：通常取 1。仿星器：表示整环面被划分的周期数；当 `ifull_torus=0` 时实际只计算 `1/nperiods` 环面，且 VMEC 的 `nfp` 必须能被它整除
ifull_torus,integer,1,0 = one field period; 1 = full torus；托卡马克：通常取 1；取 0 只有在明确采用周期扇区时才有意义。仿星器：0 计算一个由 `nperiods` 定义的周期扇区，1 计算完整环面；它控制环向域长度，不改变 VMEC 几何本身
iread_vmec,integer,0,1 = read geometry from VMEC file；托卡马克：保持 0，gfile 不通过该参数读取。仿星器：1 时从 `vmec_filename` 读取 VMEC 几何，并在固定边界初始化中同时提供平衡磁场和压力；通常与 `igeometry=1` 配合
vmec_filename,character(len=256),geometry.nc,name of vmec data file；托卡马克：不使用。仿星器：`iread_vmec=1` 时的 VMEC NetCDF 文件名；几何映射读取 R/Z 傅里叶系数、场周期和磁场系数，固定边界还使用其中的压力和磁场
igeometry,integer,0,"0: default, identity；托卡马克：标准物理 R-Z 网格取 0，网格坐标不再映射。仿星器：取 1，先把二维 mesh 坐标解释为逻辑圆盘，再由 VMEC/边界傅里叶数据映射为物理 R-Z；取 2 是求解 Laplace 几何的内部路径，不是常规 VMEC 设置"
xcenter,real,0.,center of logical mesh (x)；托卡马克：`igeometry=0` 时不用于平衡与 mesh 对齐。仿星器：逻辑圆盘中心的 x 坐标，逻辑 rho 由 `sqrt((x-xcenter)^2+(z-zcenter)^2)` 计算；必须与生成逻辑 mesh 时采用的圆心一致
zcenter,real,0.,center of logical mesh (z)；托卡马克：`igeometry=0` 时不用于平衡与 mesh 对齐。仿星器：逻辑圆盘中心的 z 坐标，与 `xcenter` 共同定义 rho 和 theta；必须与逻辑 mesh 圆心一致
bloat_factor,real,0.,factor to expand VMEC domain；托卡马克：不使用。仿星器：把 VMEC 几何径向外推到放大的计算边界；0 不按比例扩展。固定边界 `itaylor=40` 的检查要求它为 0；自由边界/外场域可非零。若同时给 `bloat_distance`，后者优先并把本参数置 0
bloat_distance,real,0.,factor to expand VMEC domain；托卡马克：不使用。仿星器：沿 VMEC 磁面外法向按距离扩展计算边界，并覆盖 `bloat_factor` 的作用。固定边界 case 建议保持 0；外扩域不会自动生成真空、壁或 LCFS 的 zone 标签
